STANTON RD 	4200 - 4249 	42ND ST - END 	Not Posted, Both Sides 2nd Mon	
STERLING CT 	4990 - 4999 	BEGIN - 50TH ST 	Not Posted, Both Sides 4th Mon	
STERLING CT 	5000 - 5099 	50TH ST - ALTADENA AV 	Not Posted, Both Sides 4th Mon	
STERLING CT 	5100 - 5149 	ALTADENA AV - 51ST ST 	Not Posted, Both Sides 4th Mon	
STERLING CT 	5150 - 5199 	51ST ST - LEMONA AV 	Not Posted, Both Sides 4th Mon	
STEWART ST 	6200 - 6299 	62ND ST - 63RD ST 	Not Posted, Both Sides 2nd Mon	
STONE CT 	5200 - 5299 	BEGIN - HEWLETT DR 	Not Posted, Both Sides Even Month 3rd Thu	
STREAMVIEW DR 	5100 - 5148 	SALTA PL - STREAMVIEW PL 	Not Posted, Both Sides 4th Mon	
STREAMVIEW DR 	5149 - 5159 	STREAMVIEW PL - BOYCE LN 	Not Posted, Both Sides 4th Mon	
STREAMVIEW DR 	5160 - 5199 	BOYCE LN - LEMONA AV 	Not Posted, Both Sides 4th Mon	
STREAMVIEW DR 	5200 - 5299 	LEMONA AV - MINA ST 	Not Posted, Both Sides 4th Mon	
STREAMVIEW DR 	5300 - 5369 	MINA ST - LEA ST 	Not Posted, Both Sides 4th Mon	
STREAMVIEW PL 	3400 - 3439 	BEGIN - STREAMVIEW DR 	Not Posted, Both Sides 4th Mon	
SUMAC DR 	2300 - 2419 	JUNIPER ST - TUBEROSE ST 	Not Posted, Both Sides Odd Month 4th Tue	
SUMAC DR 	2420 - 2449 	TUBEROSE ST - MODESTO ST 	Not Posted, Both Sides Odd Month 4th Tue	
SUMAC DR 	2450 - 2499 	MODESTO ST - LAUREL ST 	Not Posted, Both Sides Odd Month 4th Tue	
SUMAC DR 	2500 - 2599 	LAUREL ST - FAIRMOUNT AV 	Not Posted, Both Sides Odd Month 4th Tue	
SUPERBA ST 	3800 - 3899 	S 38TH ST - S 39TH ST 	Not Posted, Both Sides 2nd Fri	
SUPERIOR ST 	3800 - 3899 	S 38TH ST - S 39TH ST 	Not Posted, Both Sides 2nd Fri	
SUSSEX DR 	4800 - 4899 	KENSINGTON DR - CANTERBURY DR 	Not Posted, Both Sides 4th Mon	
SWIFT AV 	3700 - 3729 	LANDIS ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
SWIFT AV 	3730 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (8am - 11am), SS Mon, NS Thu	
SWIFT AV 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
SWIFT AV 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
SWIFT AV 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
SWIFT AV 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
SYCAMORE DR 	4000 - 4099 	TULIP ST - SHAMROCK ST 	Not Posted, Both Sides Odd Month 4th Tue	
SYCAMORE DR 	4100 - 4149 	SHAMROCK ST - VIOLET ST 	Not Posted, Both Sides Odd Month 4th Tue	
SYCAMORE DR 	4150 - 4199 	VIOLET ST - TUBEROSE ST 	Not Posted, Both Sides Odd Month 4th Tue	
SYCAMORE DR 	4200 - 4299 	SNOWDROP ST - END 	Not Posted, Both Sides Odd Month 4th Tue	
T ST 	3600 - 3639 	OLIVEWOOD TR - JEWELL DR 	Not Posted, Both Sides 2nd Fri	
T ST 	3640 - 3699 	JEWELL DR - S 37TH ST 	Not Posted, Both Sides 2nd Fri	
T ST 	3700 - 3799 	S 37TH ST - S 38TH ST 	Not Posted, Both Sides 2nd Fri	
T ST 	3800 - 3899 	S 38TH ST - S 39TH ST 	Posted (10am - 1pm), NS 2nd Fri 	Posted (10am - 1pm), SS 4th Fri
T ST 	3900 - 3999 	S 39TH ST - S 40TH ST 	Posted (10am - 1pm), SS 4th Fri 	Posted (10am - 1pm), NS 2nd Fri
T ST 	4000 - 4099 	S 40TH ST - S 41ST ST 	Not Posted, Both Sides 2nd Fri	
TARRAGONA DR 	6000 - 6010 	LORCA DR - ADELAIDE AV 	Not Posted, Both Sides 2nd Mon	
TARRAGONA DR 	6011 - 6019 	ADELAIDE AV - ADELAIDE AV 	Not Posted, Both Sides 2nd Mon	
TARRAGONA DR 	6020 - 6049 	ADELAIDE AV - CARLING WY 	Not Posted, Both Sides 2nd Mon	
TARRAGONA DR 	6050 - 6199 	CARLING WY - CARTAGENA DR 	Not Posted, Both Sides 2nd Mon	
TARRAGONA DR 	6200 - 6239 	CARTAGENA DR - RODRIGO DR 	Not Posted, Both Sides 2nd Mon	
TARRAGONA DR 	6240 - 6299 	RODRIGO DR - BONILLO DR 	Not Posted, Both Sides 2nd Mon	
TEAK ST 	3700 - 3799 	JEWELL DR - S 38TH ST 	Not Posted, Both Sides 2nd Fri	
TEAK ST 	3800 - 3899 	S 38TH ST - S 39TH ST 	Posted (10am - 1pm), NS 2nd Fri 	Posted (10am - 1pm), SS 4th Fri
TEAK ST 	3900 - 3999 	S 39TH ST - S 40TH ST 	Posted (10am - 1pm), SS 4th Fri 	Posted (10am - 1pm), NS 2nd Fri
TERRACE CT 	4000 - 4047 	ALDER DR - TERRACE DR 	Not Posted, Both Sides 4th Mon	
TERRACE CT 	4048 - 4099 	TERRACE DR - ALDER DR 	Not Posted, Both Sides 4th Mon	
TERRACE DR 	4500 - 4599 	MONROE AV - MADISON AV 	Not Posted, Both Sides 4th Mon	
TERRACE DR 	4600 - 4679 	MADISON AV - END 	Not Posted, Both Sides 4th Mon	
TERRACE DR 	4700 - 4799 	BEGIN - ALDER DR 	Posted (7am - 10am), WS 3rd Mon, ES 3rd Wed	
TERRACE DR 	4800 - 4851 	ALDER DR - TERRACE CT 	Not Posted, Both Sides 4th Mon	
THORN ST 	3740 - 3799 	BEGIN - 38TH ST 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	3800 - 3899 	38TH ST - 39TH ST 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	3900 - 3999 	39TH ST - 40TH ST 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4000 - 4049 	40TH ST - CENTRAL AV 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4050 - 4099 	CENTRAL AV - 41ST ST 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4100 - 4149 	41ST ST - MARLBOROUGH AV 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4150 - 4199 	MARLBOROUGH AV - 42ND ST 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4200 - 4249 	42ND ST - VAN DYKE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
THORN ST 	4300 - 4309 	43RD ST - FAIRMOUNT AV 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4310 - 4399 	FAIRMOUNT AV - 44TH ST 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4400 - 4449 	44TH ST - HIGHLAND AV 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4450 - 4499 	HIGHLAND AV - 45TH ST 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4500 - 4549 	45TH ST - CHAMOUNE AV 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4550 - 4599 	CHAMOUNE AV - 46TH ST 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4600 - 4649 	46TH ST - MENLO AV 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4650 - 4699 	MENLO AV - END 	Not Posted, Both Sides Odd Month 4th Tue	
THORN ST 	4750 - 4799 	EUCLID AV - BELLE ISLE DR 	Not Posted, Both Sides 4th Mon	
THORN ST 	4800 - 4899 	BELLE ISLE DR - ISLA VISTA DR 	Not Posted, Both Sides 4th Mon	
TIERRA BAJA WY 	4900 - 5099 	BAJA DR - END 	Not Posted, Both Sides Even Month 3rd Thu	
TIPTON ST 	5100 - 5129 	EWING ST - 63RD ST 	Not Posted, Both Sides 2nd Mon	
TIPTON ST 	5130 - 5299 	63RD ST - RINCON ST 	Not Posted, Both Sides 2nd Mon	
TOLEDO DR 	4500 - 4599 	67TH ST - ALAMO DR 	Not Posted, Both Sides Even Month 4th Tue	
TOMPKINS ST 	3450 - 3499 	FRANCIS ST - 35TH ST 	Not Posted, Both Sides 2nd Fri	
TOMPKINS ST 	3500 - 3549 	35TH ST - PARDEE ST 	Not Posted, Both Sides 2nd Fri	
TOMPKINS ST 	3550 - 3599 	PARDEE ST - 36TH ST 	Not Posted, Both Sides 2nd Fri	
TOWLE CT 	5100 - 5199 	BEGIN - 52ND ST 	Not Posted, Both Sides 3rd Mon	
TOYNE ST 	400 - 599 	J ST - MARKET ST 	Not Posted, Both Sides 1st Mon	
TOYNE ST 	600 - 799 	MARKET ST - F ST 	Not Posted, Both Sides 1st Mon	
TOYNE ST 	800 - 899 	F ST - HILLTOP DR 	Not Posted, Both Sides 1st Mon	
TRAILING DR 	4100 - 4129 	CRENSHAW ST - TULIP ST 	Not Posted, Both Sides 2nd Mon	
TRAILING DR 	4130 - 4169 	TULIP ST - CORDREY CT 	Not Posted, Both Sides 2nd Mon	
TRAILING DR 	4170 - 4189 	CORDREY CT - SPRINGER RD 	Not Posted, Both Sides 2nd Mon	
TRAILING DR 	4190 - 4199 	SPRINGER RD - HIXSON AV 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	4700 - 4799 	EUCLID AV - 48TH ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	4800 - 4849 	48TH ST - ESTRELLA AV 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	4850 - 4899 	ESTRELLA AV - 49TH ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	4900 - 4949 	49TH ST - WINONA AV 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	4950 - 4999 	WINONA AV - 50TH ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5000 - 5049 	50TH ST - ALTADENA AV 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5050 - 5099 	ALTADENA AV - 51ST ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5100 - 5199 	51ST ST - 52ND ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5200 - 5249 	52ND ST - DAWSON AV 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5250 - 5299 	DAWSON AV - 53RD ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5300 - 5399 	53RD ST - 54TH ST 	Not Posted, Both Sides 3rd Mon	
TROJAN AV 	5400 - 5409 	54TH ST - 54TH PL 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5410 - 5449 	54TH PL - BERNADINE PL 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5450 - 5499 	BERNADINE PL - SHARRON PL 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5500 - 5549 	SHARRON PL - 56TH ST 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5550 - 5599 	56TH ST - 56TH ST 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5600 - 5699 	56TH ST - VALE WY 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5700 - 5799 	VALE WY - 58TH ST 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5800 - 5839 	58TH ST - WEST OVERLOOK DR 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5840 - 5879 	WEST OVERLOOK DR - CORINTH ST 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5880 - 5919 	CORINTH ST - EAST OVERLOOK DR 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5920 - 5949 	EAST OVERLOOK DR - ATHENS ST 	Not Posted, Both Sides 2nd Mon	
TROJAN AV 	5950 - 5999 	ATHENS ST - 60TH ST 	Not Posted, Both Sides 2nd Mon	
TUBEROSE ST 	0 - 0 	SUMAC DR - END 	Not Posted, Both Sides Odd Month 4th Tue	
TUBEROSE ST 	2440 - 2529 	BEGIN - SYCAMORE DR 	Not Posted, Both Sides Odd Month 4th Tue	
TUBEROSE ST 	2530 - 2599 	SYCAMORE DR - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
TUBEROSE ST 	2600 - 2699 	PEPPER DR - POPLAR ST 	Not Posted, Both Sides Odd Month 4th Tue	
TUBEROSE ST 	2700 - 2799 	POPLAR ST - MANZANITA DR 	Not Posted, Both Sides Odd Month 4th Tue	
TULIP LN 	4050 - 4099 	JUNIPER ST - CRENSHAW ST 	Not Posted, Both Sides 2nd Mon	
TULIP LN 	4100 - 4149 	CRENSHAW ST - TULIP ST 	Not Posted, Both Sides 2nd Mon	
TULIP ST 	1800 - 1899 	BEGIN - TRAILING DR 	Not Posted, Both Sides 2nd Mon	
TULIP ST 	1900 - 2149 	TRAILING DR - TULIP LN 	Not Posted, Both Sides 2nd Mon	
TULIP ST 	2330 - 2419 	RALENE ST - SYCAMORE DR 	Not Posted, Both Sides Odd Month 4th Tue	
TULIP ST 	2420 - 2499 	SYCAMORE DR - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
UNA ST 	1600 - 1699 	ACACIA ST - BIRCH ST 	Not Posted, Both Sides 2nd Fri	
UNA ST 	1700 - 1750 	BIRCH ST - END 	Not Posted, Both Sides 2nd Fri	
UNIVERSITY (FTG) AV 	0 - 0 	50TH ST - END 	Not Posted, Both Sides 3rd Mon	
UNIVERSITY (FTG) AV 	3400 - 3423 	34TH ST - LINCOLN AV 	Not Posted, Both Sides Mon & Thu	
UNIVERSITY AV 	3270 - 3299 	BOUNDARY ST - 33RD ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3300 - 3349 	33RD ST - WABASH AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3350 - 3423 	WABASH AV - LA VERNE PL 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3424 - 3449 	LA VERNE PL - SWIFT AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3450 - 3499 	SWIFT AV - 35TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3500 - 3549 	35TH ST - WILSON AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3550 - 3599 	WILSON AV - 36TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3600 - 3649 	36TH ST - CHEROKEE AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3650 - 3699 	CHEROKEE AV - 37TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3700 - 3799 	37TH ST - 38TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3800 - 3899 	38TH ST - 39TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	3900 - 3999 	39TH ST - 40TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4000 - 4099 	40TH ST - 41ST ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4100 - 4149 	41ST ST - MARLBOROUGH AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4150 - 4199 	MARLBOROUGH AV - 42ND ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4200 - 4249 	42ND ST - VAN DYKE AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4250 - 4299 	VAN DYKE AV - 43RD ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4300 - 4349 	43RD ST - FAIRMOUNT AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4350 - 4399 	FAIRMOUNT AV - 44TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4400 - 4449 	44TH ST - HIGHLAND AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4450 - 4499 	HIGHLAND AV - 45TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4500 - 4549 	45TH ST - CHAMOUNE AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4550 - 4599 	CHAMOUNE AV - 46TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4600 - 4649 	46TH ST - MENLO AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4650 - 4699 	MENLO AV - 47TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4700 - 4749 	47TH ST - EUCLID AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4750 - 4759 	EUCLID AV - RENO DR 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4760 - 4799 	RENO DR - 48TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4800 - 4849 	48TH ST - ESTRELLA AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4850 - 4889 	ESTRELLA AV - 49TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4890 - 4899 	49TH ST - 49TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4900 - 4949 	49TH ST - WINONA AV 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	4950 - 4999 	WINONA AV - 50TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	5000 - 5199 	50TH ST - 52ND ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	5200 - 5299 	52ND ST - SHILOH RD 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	5300 - 5399 	SHILOH RD - 54TH ST 	Posted (2am - 6am), NS Mon, SS Thu	
UNIVERSITY AV 	5400 - 5749 	54TH ST - CHOLLAS PY 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	5750 - 5799 	CHOLLAS PY - 58TH ST 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	5800 - 5999 	58TH ST - 60TH ST 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6000 - 6099 	60TH ST - COLLEGE AV 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6100 - 6199 	COLLEGE AV - CARTAGENA DR 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6200 - 6299 	CARTAGENA DR - BONILLO DR 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6300 - 6399 	BONILLO DR - ROLANDO BL 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6400 - 6599 	ROLANDO BL - ARAGON DR 	Posted (2am - 6am), SS Tue, NS Wed	
UNIVERSITY AV 	6600 - 6629 	ARAGON DR - ALAMO DR 	Posted (2am - 6am), SS Tue, NS Wed	
VALE WY 	5400 - 5457 	BERNADINE PL - SHARRON PL 	Not Posted, Both Sides 2nd Mon	
VALE WY 	5600 - 5677 	56TH ST - TROJAN AV 	Not Posted, Both Sides 2nd Mon	
VALE WY 	5800 - 5839 	58TH ST - MEADE AV 	Not Posted, Both Sides 2nd Mon	
VALE WY 	5840 - 5919 	MEADE AV - ADELAIDE AV 	Not Posted, Both Sides 2nd Mon	
VALE WY 	5920 - 5999 	ADELAIDE AV - 60TH ST 	Not Posted, Both Sides 2nd Mon	
VALENCIA DR 	4500 - 4600 	67TH ST - LENORE DR 	Not Posted, Both Sides Even Month 4th Tue	
VALENCIA DR 	4601 - 4699 	LENORE DR - SOLITA AV 	Not Posted, Both Sides Even Month 4th Tue	
VALENCIA DR 	4700 - 4799 	SOLITA AV - SHANNON AV 	Not Posted, Both Sides Even Month 4th Tue	
VALLE AV 	3400 - 3499 	BEGIN - S 35TH ST 	Not Posted, Both Sides 2nd Fri	
VAN DYKE AV 	3100 - 3299 	BEGIN - THORN ST 	Not Posted, Both Sides Odd Month 3rd Thu	
VAN DYKE AV 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
VAN DYKE AV 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 3rd Thu	
VAN DYKE AV 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
VAN DYKE AV 	4300 - 4399 	EL CAJON BL - MEADE AV 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4400 - 4449 	MEADE AV - ETHELDA PL 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4450 - 4499 	ETHELDA PL - MONROE AV 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4500 - 4509 	MONROE AV - VAN DYKE PL 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4510 - 4549 	VAN DYKE PL - BURNHAM PL 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4550 - 4589 	BURNHAM PL - MADISON AV 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4590 - 4599 	MADISON AV - MADISON AV 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4600 - 4699 	MADISON AV - ADAMS AV 	Not Posted, Both Sides 4th Mon	
VAN DYKE AV 	4700 - 4729 	ADAMS AV - ALDINE DR 	Not Posted, Both Sides Mon & Wed	
VAN DYKE PL 	4200 - 4299 	VAN DYKE AV - END 	Not Posted, Both Sides 4th Mon	
VIEW PL 	4200 - 4348 	BEGIN - COLLEGE AV 	Not Posted, Both Sides 2nd Mon	
VIGO DR 	6640 - 6648 	ALAMO DR - CITY BOUNDARY 	Not Posted, Both Sides Even Month 4th Tue	
VIOLET ST 	2500 - 2539 	BEGIN - SYCAMORE DR 	Not Posted, Both Sides Odd Month 4th Tue	
VIOLET ST 	2540 - 2549 	SYCAMORE DR - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
VIOLET ST 	2550 - 2559 	PEPPER DR - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
VIOLET ST 	2560 - 2699 	PEPPER DR - POPLAR ST 	Not Posted, Both Sides Odd Month 4th Tue	
VIOLET ST 	2600 - 2679 	POPLAR ST - MANZANITA DR 	Not Posted, Both Sides Odd Month 4th Tue	
VIRGINIA AV 	4550 - 4699 	ACORN ST - STANLEY AV 	Not Posted, Both Sides 2nd Mon	
VISTA LN 	4750 - 4799 	BEGIN - ALDER DR 	Not Posted, Both Sides 4th Mon	
VISTA ST 	4500 - 4599 	MONROE AV - MADISON AV 	Not Posted, Both Sides 4th Mon	
VISTA ST 	4600 - 4699 	MADISON AV - ADAMS AV 	Not Posted, Both Sides 4th Mon	
VISTA ST 	4700 - 4799 	ADAMS AV - END 	Not Posted, Both Sides 4th Mon	
VISTA ST 	4800 - 4899 	ALDER DR - BIONA PL 	Not Posted, Both Sides 4th Mon	
WABASH AV 	3700 - 3799 	BEGIN - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
WABASH AV 	3800 - 3899 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
WABASH AV 	3900 - 3999 	UNIVERSITY AV - LINCOLN AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
WABASH AV 	4000 - 4099 	LINCOLN AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
WABASH AV 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
WALSH WY 	5100 - 5199 	DROVER DR - SAXON ST 	Not Posted, Both Sides Even Month 3rd Thu	
WEBSTER AV 	3450 - 3499 	S FRANCIS ST - S 35TH ST 	Not Posted, Both Sides 2nd Fri	
WEBSTER AV 	3500 - 3549 	S 35TH ST - S PARDEE ST 	Not Posted, Both Sides 2nd Fri	
WEBSTER AV 	3550 - 3599 	S PARDEE ST - S 36TH ST 	Not Posted, Both Sides 2nd Fri	
WENDELL ST 	4600 - 4699 	RIDGE VIEW DR - BAILY AV 	Not Posted, Both Sides 2nd Mon	
WENDELL ST 	4700 - 4749 	BAILY AV - ISABEL ST 	Not Posted, Both Sides 2nd Mon	
WENDELL ST 	4750 - 4799 	ISABEL ST - END 	Not Posted, Both Sides 2nd Mon	
WESLEYAN PL 	4000 - 4099 	BEGIN - SOUTH HEMPSTEAD CR 	Not Posted, Both Sides 4th Mon	
WEST ALDER DR 	4800 - 4809 	ALDER DR - ARGOS DR 	Not Posted, Both Sides 4th Mon	
WEST ALDER DR 	4810 - 4899 	ARGOS DR - EAST ALDER DR 	Not Posted, Both Sides 4th Mon	
WEST FALLS VIEW DR 	5300 - 5399 	EAST FALLS VIEW DR - EAST FALLS VIEW DR 	Not Posted, Both Sides 2nd Mon	
WEST OVERLOOK DR 	4200 - 4399 	CORINTH ST - TROJAN AV 	Not Posted, Both Sides 2nd Mon	
WEST TALMADGE DR 	4500 - 4599 	EAST TALMADGE DR - MADISON AV 	Not Posted, Both Sides 4th Mon	
WEST TALMADGE DR 	4600 - 4639 	MADISON AV - SHORT ST 	Not Posted, Both Sides 4th Mon	
WEST TALMADGE DR 	4640 - 4699 	SHORT ST - ADAMS AV 	Not Posted, Both Sides 4th Mon	
WESTGATE PL 	3800 - 3899 	BEGIN - 39TH ST 	Not Posted, Both Sides 2nd Mon	
WESTMINSTER TR 	4900 - 4999 	KENSINGTON DR - NORFOLK TR 	Not Posted, Both Sides 4th Mon	
WESTMINSTER TR 	5000 - 5059 	NORFOLK TR - ROCHESTER RD 	Not Posted, Both Sides 4th Mon	
WESTMINSTER TR 	5060 - 5099 	ROCHESTER RD - CANTERBURY DR 	Not Posted, Both Sides 4th Mon	
WHITE SAGE LN 	3620 - 3649 	BRIDGEVIEW DR - CACTUSRIDGE ST 	Not Posted, Both Sides 2nd Mon	
WHITMORE ST 	400 - 599 	LOCKRIDGE ST - MARKET ST 	Not Posted, Both Sides Mon	
WIGHTMAN ST 	3400 - 3449 	WABASH AV - SWIFT AV 	Posted (7am - 10am), NS 2nd & 4th Mon, SS 2nd & 4th Tue	
WIGHTMAN ST 	3450 - 3499 	SWIFT AV - 35TH ST 	Posted (8am - 11am), SS Mon, NS Thu	
WIGHTMAN ST 	3500 - 3549 	35TH ST - WILSON AV 	Posted (8am - 11am), SS Mon, NS Thu	
